user,entityId,entityType,eventType
vDvIFriy2NK_iufEBBN-2xyq_Xpfi4Ou,435574,product,impression
jD9eFgC_exKP1f0_tNtx4OYKk0bgb_ZL,573775,product,impression
jD9eFgC_exKP1f0_tNtx4OYKk0bgb_ZL,573802,product,impression
vDvIFriy2NK_iufEBBN-2xyq_Xpfi4Ou,610764,product,impression
vDvIFriy2NK_iufEBBN-2xyq_Xpfi4Ou,627724,product,impression
jD9eFgC_exKP1f0_tNtx4OYKk0bgb_ZL,736351,product,impression
jD9eFgC_exKP1f0_tNtx4OYKk0bgb_ZL,599734,product,impression
jD9eFgC_exKP1f0_tNtx4OYKk0bgb_ZL,427507,product,impression
K89HFjAZeOVPwLc3x1oekj7Tagsb_dJS,594835,product,impression
K89HFjAZeOVPwLc3x1oekj7Tagsb_dJS,594802,product,impression
K89HFjAZeOVPwLc3x1oekj7Tagsb_dJS,594796,product,impression
K89HFjAZeOVPwLc3x1oekj7Tagsb_dJS,594783,product,impression
K89HFjAZeOVPwLc3x1oekj7Tagsb_dJS,594769,product,impression
K89HFjAZeOVPwLc3x1oekj7Tagsb_dJS,594760,product,impression
K89HFjAZeOVPwLc3x1oekj7Tagsb_dJS,594745,product,impression
K89HFjAZeOVPwLc3x1oekj7Tagsb_dJS,594603,product,impression
K89HFjAZeOVPwLc3x1oekj7Tagsb_dJS,594496,product,impression
K89HFjAZeOVPwLc3x1oekj7Tagsb_dJS,594489,product,impression
K89HFjAZeOVPwLc3x1oekj7Tagsb_dJS,594383,product,impression
K89HFjAZeOVPwLc3x1oekj7Tagsb_dJS,594322,product,impression
K89HFjAZeOVPwLc3x1oekj7Tagsb_dJS,594126,product,impression
K89HFjAZeOVPwLc3x1oekj7Tagsb_dJS,594098,product,impression
K89HFjAZeOVPwLc3x1oekj7Tagsb_dJS,594064,product,impression
K89HFjAZeOVPwLc3x1oekj7Tagsb_dJS,594032,product,impression
K89HFjAZeOVPwLc3x1oekj7Tagsb_dJS,594007,product,impression
K89HFjAZeOVPwLc3x1oekj7Tagsb_dJS,593999,product,impression
K89HFjAZeOVPwLc3x1oekj7Tagsb_dJS,593767,product,impression
K89HFjAZeOVPwLc3x1oekj7Tagsb_dJS,593654,product,impression
CbNKQKAI05Vr9EZaOyOmp1EPWTyjhoeX,671741,product,impression
CbNKQKAI05Vr9EZaOyOmp1EPWTyjhoeX,745549,product,impression
CbNKQKAI05Vr9EZaOyOmp1EPWTyjhoeX,722054,product,impression
CbNKQKAI05Vr9EZaOyOmp1EPWTyjhoeX,677494,product,impression
CbNKQKAI05Vr9EZaOyOmp1EPWTyjhoeX,575061,product,impression
CbNKQKAI05Vr9EZaOyOmp1EPWTyjhoeX,392756,product,impression
CbNKQKAI05Vr9EZaOyOmp1EPWTyjhoeX,714335,product,impression
CbNKQKAI05Vr9EZaOyOmp1EPWTyjhoeX,640370,product,impression
CbNKQKAI05Vr9EZaOyOmp1EPWTyjhoeX,751060,product,impression
CbNKQKAI05Vr9EZaOyOmp1EPWTyjhoeX,727133,product,impression
CbNKQKAI05Vr9EZaOyOmp1EPWTyjhoeX,589108,product,impression
CbNKQKAI05Vr9EZaOyOmp1EPWTyjhoeX,466354,product,impression
CbNKQKAI05Vr9EZaOyOmp1EPWTyjhoeX,729709,product,impression
CbNKQKAI05Vr9EZaOyOmp1EPWTyjhoeX,726664,product,impression
CbNKQKAI05Vr9EZaOyOmp1EPWTyjhoeX,638733,product,impression
CbNKQKAI05Vr9EZaOyOmp1EPWTyjhoeX,709118,product,impression
CbNKQKAI05Vr9EZaOyOmp1EPWTyjhoeX,508656,product,impression
CbNKQKAI05Vr9EZaOyOmp1EPWTyjhoeX,589138,product,impression
CbNKQKAI05Vr9EZaOyOmp1EPWTyjhoeX,675127,product,impression
CbNKQKAI05Vr9EZaOyOmp1EPWTyjhoeX,721949,product,impression
CbNKQKAI05Vr9EZaOyOmp1EPWTyjhoeX,606909,product,impression
CbNKQKAI05Vr9EZaOyOmp1EPWTyjhoeX,588805,product,impression
